"ID","TreatmentGroup","Role","Age","Ovaries","Elo","Queenness","NestID"
"F01RD","C12","queen",NA,321.24,1000,NA,"1"
"F03BL","QR12","queen",NA,309.33,1000,NA,"3"
"F06BL","C12","queen",NA,311.4543333,1055.54600784371,NA,"6"
"F08YL","C3","queen",NA,258.2916667,1215.2589525132,NA,"8"
"F09BL","C3","queen",NA,329.9886667,1141.21,NA,"9"
"F13GR","C12","queen",NA,275.229,1000,NA,"13"
"F14GR","QR12","queen",NA,315.33,1087.75406687981,NA,"14"
"F16BL","C12","queen",NA,298.479,1121.08,NA,"16"
"F28GRGR","C3","queen",NA,338.4463333,1226.19132698549,NA,"28"
"F31GR","C3","queen",NA,237.1933333,1083.96498485615,NA,"31"
"F38BL","QR3","queen",NA,225.1998333,1000,NA,"38"
"F42OR","QR12","queen",NA,319.78,1139.2316301433,NA,"42"
"F45OR","QR12","queen",NA,337.8,1093.03290402556,NA,"45"
"F47RD","QR3","queen",NA,307.5175,1135.23602488805,NA,"47"
"F48SL","QR12","queen",NA,327.45,1224.57795416847,NA,"48"
"F49RD","C3","queen",NA,287.5078333,1191.31730972973,NA,"49"
"F51RD","QR3","queen",NA,305.82,1135.83090323283,NA,"51"
"F54GR","C3","queen",NA,311.8055,1000,NA,"54"
"F56YL","C3","queen",NA,281.8258333,1056.41686895498,NA,"56"
"F58SL","C12","queen",NA,313.7658333,1050,NA,"58"
"F65ORWH","QR12","queen",NA,354.2058333,1332.33997834118,NA,"65"
"F67YLBL","QR12","queen",NA,351.16,1190.3306638557,NA,"67"
"F69OR","QR3","queen",NA,322.7108333,1077.25230690981,NA,"69"
"F70SL","C3","queen",NA,332.3168333,1127.82983656597,NA,"70"
"F71BL","QR3","queen",NA,332.32,1050,NA,"71"
"F72RDWH","C3","queen",NA,323.816,1134.3724122265,NA,"72"
"W01RDYL","C12","worker_ctrl",20,195.6291667,1050,NA,"1"
"W03BLGR","QR12","worker_qr12",11,124.1156667,1000,0.020171569900691,"3"
"W03GR","QR12","worker_qr12",23,66.76183333,923.105857863,0.002096128508382,"3"
"W03SL","QR12","worker_qr12",25,316.0946667,1076.894142137,0.96853186716955,"3"
"W04BLOR","QR12","worker_qr12",24,66.43366667,876.472281705311,0.001682091479843,"4"
"W04GRSL","QR12","worker_qr12",24,209.8983333,931.055292343858,0.175289864867277,"4"
"W04YLWH","QR12","worker_qr12",24,302.3556667,1192.47242595083,0.984415995205864,"4"
"W05RDRD","QR12","worker_qr12",23,270.3795,944.350677117903,0.626093079828914,"5"
"W08RDOR","C3","worker_ctrl",9,117.0051667,950,NA,"8"
"W09RDOR","C3","worker_ctrl",16,52.903,978.77,NA,"9"
"W13YLSL","C12","worker_ctrl",23,93.32966667,1000,NA,"13"
"W14GRRD","QR12","worker_qr12",16,62.876,994.31128158875,0.002535438785506,"14"
"W14SLBL","QR12","worker_qr12",25,309.8395,1043.47476080881,0.945192967096054,"14"
"W14WHOR","QR12","worker_qr12",23,69.438,1000,0.003242076156658,"14"
"W28BLOR","QR3","worker_qr3",3,100.303,1000,0.009132854386603,"38"
"W28ORYL","C3","worker_ctrl",7,46.88966667,966.063842327811,NA,"28"
"W33BLYL","QR12","worker_qr12",24,241.8343333,1000,0.522363324298058,"33"
"W33GRSL","QR12","worker_qr12",18,108.127,1062.00319517633,0.016657238038958,"33"
"W33RDBL","QR12","worker_qr12",13,168.5411667,952.306348855472,0.06170442590626,"33"
"W33SL","QR12","worker_qr12",28,68.9615,1127.41466995949,0.005695434633007,"33"
"W38RDBL","QR3","worker_qr3",21,245.001,954.263629879375,0.446230408870128,"38"
"W38RDWH","QR3","worker_qr3",24,237.6816667,900.003950033202,0.282204468283067,"38"
"W38YLBL","QR3","worker_qr3",33,277.2408333,1342.10105659221,0.990499254216037,"38"
"W40GROR","C12","worker_ctrl",16,171.622,1093.67329511052,NA,"40"
"W42GRSL","QR12","worker_qr12",24,311.8066667,1114.15746341381,0.975218505794162,"42"
"W42RDWH","QR12","worker_qr12",19,261.2623333,1000,0.67811965385018,"42"
"W42WHBL","QR12","worker_qr12",17,226.0015,1000,0.390599528384405,"42"
"W42WHRD","QR12","worker_qr12",17,283.3711667,944.729519913899,0.718986079697432,"42"
"W42WHRD2","QR12","worker_qr12",14,300.5748333,1000,0.888133010600322,"42"
"W44GRBL","QR3","worker_qr3",9,73.37083333,1107.68503150145,0.006109975110973,"44"
"W45RDWH","QR12","worker_qr12",11,58.695,997.21913331105,0.002231569922775,"45"
"W45SL","QR12","worker_qr12",16,334.987,1237.24117409015,0.997297799194114,"45"
"W45WHRD","QR12","worker_qr12",3,76.433,982.938753655777,0.003783228985287,"45"
"W45YLBL","QR12","worker_qr12",14,59.21016667,918.018769867029,0.001613517206503,"45"
"W46ORYL","C12","worker_ctrl",1,84.818,992.3,NA,"46"
"W47GRBL","QR3","worker_qr3",28,143.8445,978.401005900813,0.03367207723235,"47"
"W47RDWH","QR3","worker_qr3",21,158.5256667,900.299668630892,0.032206649206557,"47"
"W47WHBL","QR3","worker_qr3",30,271.0488333,1340.86565165655,0.987536653863945,"47"
"W47WHYL","QR3","worker_qr3",26,170.2186667,905.908990269784,0.047528780790421,"47"
"W47YLBL","QR3","worker_qr3",26,220.0398333,1032.80943507587,0.40832221952079,"47"
"W48GRBL2","QR12","worker_qr12",20,254.9603333,901.912314040619,0.406991540253706,"48"
"W48RDWH","QR12","worker_qr12",26,310.5328333,1091.37415515734,0.96716293249899,"48"
"W48YLWH","QR12","worker_qr12",16,88.39633333,1062.98085570688,0.008409781498783,"48"
"W49RDYL","C3","worker_ctrl",10,69.87566667,973.677793317135,NA,"49"
"W51BL","QR3","worker_qr3",13,160.0855,1237.45892528489,0.26153442430311,"51"
"W51GRYL","QR3","worker_qr3",11,83.47333333,1029.38398439707,0.006001904330783,"51"
"W51ORBL","QR3","worker_qr3",9,55.30983333,893.586391359077,0.001286624680835,"51"
"W51SLWH","QR3","worker_qr3",9,161.1706667,963.106412094568,0.052796334021128,"51"
"W52BLGR","QR3","worker_qr3",12,52.3265,1126.49356556094,0.003075783209144,"52"
"W54ORYL","C3","worker_ctrl",3,61.24166667,1000,NA,"54"
"W56YLBL","C3","worker_ctrl",2,66.714,1000,NA,"56"
"W57BLOR","QR3","worker_qr3",21,81.44583333,1077.23682935101,0.007062172553104,"57"
"W57RDYL","QR3","worker_qr3",4,159.6191667,980.902473873677,0.05646867524977,"57"
"W58BLWH","C12","worker_ctrl",13,59.0565,1000,NA,"58"
"W65BLWH","QR12","worker_qr12",12,338.3238333,1299.60295614633,0.99883370441717,"65"
"W65ORBL","QR12","worker_qr12",8,49.022,1015.27276187766,0.001734678029782,"65"
"W65RDGR","QR12","worker_qr12",19,228.1341667,985.475954669874,0.378113921745015,"65"
"W65RDOR","QR12","worker_qr12",21,74.43683333,1052.00315938665,0.004893844948859,"65"
"W67BLWH","QR12","worker_qr12",17,74.00483333,1113.1267006835,0.006412744305569,"67"
"W67GROR","QR12","worker_qr12",22,206.0751667,1205.22074036771,0.629701257387432,"67"
"W67RDBL","QR12","worker_qr12",12,49.15116667,789.500651057745,0.000696270804911,"67"
"W67WHBL","QR12","worker_qr12",18,62.571,906.255316188627,0.001703951024018,"67"
"W69BLOR","QR3","worker_qr3",3,116.8371667,935.736261027103,0.010987105522637,"69"
"W69BLYL","QR3","worker_qr3",7,137.1695,941.105029683081,0.021603315325251,"69"
"W69SLBL","QR3","worker_qr3",3,65.88783333,1000,0.002877073504163,"69"
"W69YLSL","QR3","worker_qr3",11,181.7856667,1132.56184771437,0.278155428675431,"69"
"W70RDYL","C3","worker_ctrl",17,79.93483333,1007.52048654236,NA,"70"
"W71RDBL","QR3","worker_qr3",17,64.871,941.149221835096,0.002139270680474,"71"
"W71YLWH","QR3","worker_qr3",17,248.544,1143.86062371908,0.835572828521956,"71"
"W71YLYL","QR3","worker_qr3",13,88.029,896.778251527852,0.003603949137881,"71"
